Gene number,Chromosome,Gene name,Flowering pathway,Protein function,Phenotypic information,Key references,Additional comments
AT1G01060 ,1,LHY (LATE ELONGATED HYPOCOTYL),"photoperiod, circadian clock",Myb transcription factor,"mutant early flowering in short days, lhy cca1 double mutant not responsive to photoperiod","Schaffer et al., 1998, Cell; Alabadi et al., 2001, Science; Mizoguchi et al., 2002, Dev Cell",Redundancy with CCA1
AT1G02400,1,GA2ox6 (GIBBERELLIN 2-OXIDASE 6),Gibberellin,gibberellin 2-oxidase,"single mutant has no flowering phenotype; double, triple and quintuple ga2ox mutants flower early under short days","Rieu et al., 2008 Plant Cell",
AT1G04400,1,CRY2 (CRYPTOCHROME 2),Light perception,Blue light photoreceptor,mutant late flowering in LDs,"El-Assal et al., 2003 Plant Physiology; Koornneef et al., 1991 Mol Gen Genet; Guo et al., 1998 Science; Endo et al., 2007 Plant Cell",
AT1G08970,1,NFYC3/HAP5C (NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-3/HEME ACTIVATED PROTEIN 5C),,CCAAT-box binding transcription factor,no mutant described but the protein interacts with CO in yeast,"Wenkel et al., 2006 Plant Cell",
AT1G09530  ,1,PIF3 (PHYTOCHROME INTERACTING FACTOR 3),"photoperiod, circadian clock",bHLH transcription factor,antisense suppresssion of PIF3 causes early flowering,"Oda et al., 2004, FEBBS Lett.; Ni et al., 1998, Cell",
AT1G09570,1,PHYA (PHYTOCHROME A),Light perception,Red or far-red light photoreceptor,"mutant late flowering in LD, overexpressor early flowering in SD and LD","Johnson et al., 1994 Plant Physiology; Bagnall et al., 1995 Plant Physiology",
AT1G12910,1,LWD1/ATAN11 (LIGHT-REGULATED WD 1/ANTHOCYANIN11),"photoperiod, circadian clock",WD40 repeat,lwd1 lwd2 double mutant early flowering in LD and SD,"Wu et al., 2008, Plant Phys",
AT1G14400,1,UBC1 (UBIQUITIN CONJUGATING ENZYME 1),,E2 enzyme involved in monoubiquitination of histone 2B,"mutant slightly early flowering, redundant with UBC2","Gu et al., 2009 Plant Journal; Xu et al., 2009 Plant Journal",
AT1G14920,1,GAI (GIBBERELLIC ACID INSENSITIVE),Gibberellin,GRAS family of putative transcription regulators ,"late flowering in short days, suppresses ga1-3 lat flowering phenotype, redundant with RGA","Wilson et al, 1992 Plant Phys; Dill and Sun, 2001 Genetics",
AT1G15550 ,1,GA3ox1 (GIBBERELLIN 3-OXIDASE 1),Gibberellin,"gibberellin 3-oxidase activity, GA biosynthesis","ga3ox1-3 single mutant slightly late flowering in LD, in the ga3ox1-3 ga3ox2-1 double mutant the late flowering phenotype is enhanced but remains mild in LD","Mitchum et al., 2006 Plant J",
AT1G17760,1,Cstf77 (CLEAVAGE STIMULATION FACTOR 77),Vernalization,Component of RNA 3'-processing complex,cstf77 mutant is late flowering,"Liu et al., 2009 Science",
AT1G18075,1,miR159b (micro RNA 159b),Gibberellin,,,,
AT1G22770,1,GI (GIGANTEA),"photoperiod, circadian clock",-,mutant late flowering in LDs,"Fowler et al., 1999 EMBO J; Park et al., 1999 Science; Huq et al., 2000 PNAS; Mizoguchi et al., 2005 Plant Cell; Sawa et al., 2007 Science",
AT1G24260,1,SEP3 (SEPALLATA 3),Flower development,MADS-box transcription factor,sep1 sep2 sep3 sep4 quadruple mutants do not form floral organs,"Kaufmann et al., 2009 PLoS Biology; Teper-Bamnolker and Samach, 2005 Plant Cell; ",
AT1G25540,1,PFT1 (PHYTOCHROME AND FLOWERING TIME 1),Light quality perception,Mediator Complex Subunit 25,mutant late flowering in LDs and SDs,Cerdán and Chory 2003 Nature,
AT1G25560,1,TEM1 (TEMPRANILLO 1),Floral repressor,AP2-domain transcription factor,double tem1 tem2 RNAi mutants are early flowering in LDs,"Castillejo and Pelaz, 2008 Current Biology",
AT1G26310,1,CAL (CAULIFLOWER),Flower meristem identity,MADS-box transcription factor,Abnormal flower development (in combination with ap1 mutants),"Ferrándiz et al., 2000 Development",
AT1G30040,1,GA2ox2 (GIBBERELLIN 2-OXIDASE 2),Gibberellin,gibberellin 2-oxidase,"single mutant has no flowering phenotype; double, triple and quintuple ga2ox mutants flower early under short days","Rieu et al., 2008 Plant Cell",
AT1G47990,1,GA2ox4 (GIBBERELLIN 2-OXIDASE 4),Gibberellin,gibberellin 2-oxidase,"single mutant has no flowering phenotype; double, triple and quintuple ga2ox mutants flower early under short days","Rieu et al., 2008 Plant Cell",
AT1G50960,1,GA2ox7 (GIBBERELLIN 2-OXIDASE 7),Gibberellin,gibberellin 2-oxidase,ga2ox7 ga2ox8 double mutants bolt early in SDs,"Schomburg et al., 2003 Plant Cell",
AT1G53090,1,SPA4 (SPA1-RELATED 4),Photoperiod,WD-40 and protein kinase-like domain,spa1 spa3 spa4 triple mutants flower early in LDs and SDs,"Laubinger et al., 2006 Development; Zhu et al., 2008 Plant Cell",
AT1G53160,1,SPL4 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 4),Vegetative to reproductive transition,SBP transcription factor,Overexpression promotes flowering,"Wu and Poethig, 2006 Development",
AT1G54830,1,NFYC9 (NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-9),,CCAAT-box binding transcription factor,,"Wenkel et al., 2006 Plant Cell",
AT1G55250,1,HUB2 (HISTONE MONOUBIQUITINATION 2),,E3 enzyme involved in monoubiquitination of histone 2B,mutant early flowering,"Gu et al., 2009 Plant Journal; Xu et al., 2009 Plant Journal",
AT1G56170,1,NFYC2/HAP5B (NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT C-2/HEME ACTIVATED PROTEIN 5B),,CCAAT-box binding transcription factor,no mutant described but the protein interacts with CO in yeast,"Wenkel et al., 2006 Plant Cell",
AT1G61040,1,VIP5 (VERNALIZATION INDEPENDENCE 5), -,Component of Paf1c,mutant early flowering,"Oh et al., 2004 Plant Cell",mutants show reduced FLC expression
AT1G65480,1,FT (FLOWERING LOCUS T),Photoperiod,Phosphatidylethanolamine-binding protein homologues,mutant late flowering in LDs,"Corbesier et al., 2007 Science; Notaguchi et al. 2008, Plant Cell Physiology; Jaeger and Wigge, 2007 Current Biology; Mathieu et al., 2007 Current Biology; Kardailsky et al., 1999 Science; Kobayashi et al., 1999 Science ",
AT1G68050,1,"FKF1 (FLAVIN BINDING, KELCH REPEAT, F-BOX 1)","photoperiod, light perception","E3 ubiquitin ligase, blue light photoreceptor",mutant late flowering in LDs,"Nelson et al., 2000 Cell; Imaizumi et al., Nature 2003",
AT1G68840,1,TEM2 (TEMPRANILLO 2),Floral repressor,AP2-domain transcription factor,double tem1 tem2 RNAi mutants are early flowering in LDs,"Castillejo and Pelaz, 2008 Current Biology",
AT1G69120,1,AP1 (APETALA1),Flower meristem identity,MADS-box transcription factor,Abnormal flower development,"Simon et al., 1996 Nature; Mandel and Yanofsky, 1995 Nature",
AT1G69570,1,CDF5 (CYCLING DOF FACTOR 5),Photoperiod,DOF transcription factor,cdf1 cdf2 cdf3 cdf5 quadruple mutants flower early in LDs and SDs,"Fornara et al., 2009 Developmental Cell",
AT1G71800,1,Cstf64 ((CLEAVAGE STIMULATION FACTOR 64),Vernalization,Component of RNA 3'-processing complex,cstf64 mutant is late flowering,"Liu et al., 2009 Science",
AT1G73687,1,miR159a (micro RNA 159a),Gibberellin,,,"Achard et al., 2004 Development; Allen et al., 2007 PNAS",
AT1G76710,1,SDG26 (SET DOMAIN GROUP 26),,SET domain protein,mutant late flowering,"Xu et al., 2008 Mol Cell Biology","Mutants are late flowering due to increased FLC and MAF expression, but the mechanism is unclear."
AT1G77080,1,MAF1 (MADS AFFECTING FLOWERING 1) also called FLM (FLOWERING LOCUS M) and AGL27 (AGAMOUS LIKE 27),,MADS box transcription factor,"mutations cause early flowering, especially under short days","Ratcliffe et al., 2001 Plant Physiology; Scortecci et al., 2001 Plant Journal; Adamczyk et a;., 2007; Mathieu et al., 2009",
AT1G77300,1,EFS (EARLY FLOWERING IN SHORT DAYS) also called SDG8 (SET DOMAIN GROUP 8),,SET domain protein involved in histone modification probably functionally related to Paf1C,mutant early flowering,"Kim et al., 2005 Plant Cell; Xu et al., 2008 Mol Cell Biology",Mutants reduced H3K36me3 and reduced H3K36me2 at FLC. Also more H3K36me. Protein involved in di and tri methylation of this lysine.
AT1G78440 ,1,GA2ox1 (GIBBERELLIN 2-OXIDASE 1),Gibberellin,gibberellin 2-oxidase,"single mutant has no flowering phenotype; double, triple and quintuple ga2ox mutants flower early under short days","Rieu et al., 2008 Plant Cell",
AT1G79460 ,1,GA2/KS (GA REQUIRING 2/ENT-KAURENE SYNTHASE),Gibberellin,ent-kaurene synthase B activity which catalyzes the second step in the cyclization of GGPP to ent-kaurene in the gibberellins biosynthetic pathway,dwarf plant,"Yamaguchi et al., 1994 Plant Phys",
AT1G79730,1,ELF7 (EARLY FLOWERING 7),,Component of Paf1c,mutant early flowering,"He et al., 2004 Genes Dev",mutants show reduced FLC expression
AT1G80340 ,1,GA3ox2 (GIBBERELLIN 3-OXIDASE 2),Gibberellin,"gibberellin 3-oxidase activity, GA biosynthesis","ga3ox1-3 single mutant has no flowering phenotype in LD, in the ga3ox1-3 ga3ox2-1 double mutant the late flowering phenotype is enhanced but remains mild in LD","Mitchum et al., 2006 Plant J",
AT2G01570 ,2,RGA (REPRESSOR OF GA1-3 1),Gibberellin,GRAS family of putative transcription regulators ,"suppresses ga1-3 late flowering phenotype, redundant with GAI","Silverstone et al., 1998 Plant Cell; Dill and Sun, 2001 Genetics",
AT2G02760,2,UBC2 (UBIQUITIN CONJUGATING ENZYME 2),,E2 enzyme involved in monoubiquitination of histone 2B,"No phenotype, but strongly enahnces ubc2","Gu et al., 2009 Plant Journal; Xu et al., 2009 Plant Journal",
AT2G06210,2,VIP6 (VERNALIZATION INDEPENDENCE 6) also called EARLY FLOWERING 8 (ELF8), -,Component of Paf1c,mutant early flowering,"He et al., 2004 Genes Dev; Oh et al., 2004 Plant Cell",mutants show reduced FLC expression
AT2G18790,2,PHYB (PHYTOCHROME B),Light perception,Red/Far-red light photoreceptor,mutant early flowering in LDs and SDs,"Endo et al., 2005 Plant Cell; Valverde et al., 2004 Science; Cerdán and Chory 2003 Nature; Reed et al., 1993 Plant Cell",
AT2G18915,2,LKP2 (LOV KELCH PROTEIN 2),"photoperiod, circadian clock",E3 ubiquitin ligase,fkf1 ztl lkp2 triple mutants are late flowering in LDs; LKP2 overexpressor late flowering in LD,"Fornara et al., 2009 Developmental Cell; Schultz et al., 2001 Plant Cell",
AT2G19425,2,miR156g (micro RNA 156g),Vegetative to reproductive transition,,,,
AT2G19520,2,FVE,Autonomous,MSI-homologue,mutant late flowering,"Ausin et al., 2004 Nat genetics",mutants show increased FLC expression
AT2G21070,2,FIO1 (FIONA1),"photoperiod, circadian clock",unknown (nuclear localized),mutant early flowering in LD and SD,"Kim et al., 2008, Plant Cell",
AT2G21660,2,ATGRP7,autonomous,RNA-binding protein,mutant late flowering,"Streitner et al., 2008, Plant Journal.",
AT2G22540,2,SVP (SHORT VEGETATIVE PHASE),Floral repressor,MADS-box transcription factor,mutant early flowering in LDs and SDs,"Li et al., 2008 Dev Cell; Hartmann et al., 2000 Plant Journal",
AT2G22630,2,AGL17 (AGAMOUS-LIKE 17),Photoperiod,MADS-box transcription factor,mutant late flowering in LDs,"Han et al., 2008 Plant Journal",
AT2G23380,2,CLF (CURLY LEAF),,SET domain protein component of polycomb repressive complex 2,Mutant early flowering with upcurled leaves,"Goodrich et al., 1997 Nature",Misexpression of AGAMOUS contributes to early flowering phenotype.
AT2G25095,2,miR156a (micro RNA 156a),Vegetative to reproductive transition,,Overexpression delays flowering,"Wu and Poethig, 2006 Development",
AT2G25930  ,2,ELF3 (EARLY FLOWERING 3),"photoperiod, circadian clock",unknown (nuclear localized),"mutant early flowering in SD, insensitive to photoperiod","Hicks et al., 1996, Science; McWatters et al., 2000, Nature; Liu et al., 2001, Plant Cell",
AT2G27990,2,PNF (POUND-FOOLISH),Inflorescence meristem development,BEL1-like homeodomain transcription factor,pny pnf double mutants do not flower,"Kanrar et al., 2008 Plant Journal; Smith et al., 2004 Current Biology",
AT2G28056,2,miR172a (micro RNA 172a)/EAT (EARLY ACTIVATION TAGGED),Photoperiod,,Overexpression promotes flowering,"Aukerman and Sakai, 2003 Plant Cell; Jung et al., 2007 Plant Cell; Schwab et al., 2005 Dev Cell",
AT2G28550,2,TOE1 (TARGET OF EAT 1),Photoperiod,AP2-domain transcription factor,mutant early flowering in LDs,"Aukerman and Sakai, 2003 Plant Cell; Schwab et al., 2005 Dev Cell; Mathieu et al., 2009 PLoS Biology",
AT2G31650,2,ATX1 (ARABIDOPSIS TRITHORAX 1), -,,mutant early flowering in long and short days.,"Pien et al., 2008 Plant Cell",mutants show reduced FLC expression and lower H3K4me3 at 5' end of FLC. ATX1 activity probably related to PAF1C.
AT2G32950,2,COP1 (CONSTITUTIVE PHOTOMORPHOGENIC 1),Photoperiod,E3 ubiquitin ligase,mutant early flowering in LDs and SDs,"Jang et al., 2008 EMBO J; Liu et al., 2008 Plant Cell",
AT2G33810,2,SPL3 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 3),Vegetative to reproductive transition,SBP transcription factor,Overexpression promotes flowering,"Gandikota et al., 2007 Plant Journal; Cardon et al., 1997 Plant Journal; Wang et al., 2009 Cell; Yamaguchi et al., 2009 Developmental Cell",
AT2G33835,2,FES (FRIGIDA ESSENTIAL 1),,A CCCH zinc finger protein,mutant early flowering in winter annual accessions,"Schmitz et al., 2005 Development","Required for FRI to upregulate FLC, but not required in autonomous pathway mutants"
AT2G34555 ,2,GA2ox3 (GIBBERELLIN 2-OXIDASE 3),Gibberellin,gibberellin 2-oxidase,"single mutant has no flowering phenotype; double, triple and quintuple ga2ox mutants flower early under short days","Rieu et al., 2008 Plant Cell",
AT2G34720,2,"NFYA4 (NUCLEAR FACTOR Y, SUBUNIT A4)",Photoperiod,CCAAT-box binding transcription factor,mutant shows no flowering-time phenotype; plants overexpressing the gene in phloem companion cells are late flowering in LDs,"Wenkel et al., 2006 Plant Cell",
AT2G38880,2,NFYB1/HAP3A (NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT B-1/HEME ACTIVATED PROTEIN 3A),Photoperiod,CCAAT-box binding transcription factor,overexpression causes late flowering in LDs,"Wenkel et al., 2006 Plant Cell",
AT2G39250,2,SNZ (SCHNARCHZAPFEN),Photoperiod,AP2-domain transcription factor,smz snz toe1 toe2 quadruple mutants are early flowering in LDs,"Mathieu et al., 2009 PLoS Biology",
AT2G40080  ,2,ELF4 (EARLY FLOWERING 4),"photoperiod, circadian clock",unknown,mutant early flowering,"Doyle et al., 2002, Nature; Kikis et al., 2005, Plant J; McWatters et al., 2007, Plant Phys",
AT2G42200,2,SPL9 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 9),Vegetative and reproductive phase change,SBP transcription factor,spl9 spl15 double mutants reduce plastochron length and delay flowering,"Schwarz et al., 2008 Plant Molecular Biology; Wang et al., 2008 Plant Cell; Wu et al., 2009 Cell; Wang et al., 2009 Cell",
AT2G43410,2,FPA,Autonomous,RNA-binding protein,mutant late flowering,"Baurle et al., 2007 Science; Schomburg et al., 2001 Plant Cell",mutants show increased FLC expression
AT2G44950,2,HUB1 (HISTONE MONOUBIQUITINATION 1),,E3 enzyme involved in monoubiquitination of histone 2B,mutant early flowering,"Gu et al., 2009 Plant Journal; Xu et al., 2009 Plant Journal",
AT2G45640,2,SAP18 (SIN3-ASSOCIATED POLYPEPTIDE 18),,Histone deacetylase complex subunit,svp sap18 double mutants show aberrant floral morphology,"Liu et al., 2009 Developmental Cell",
AT2G45660,2,SOC1 (SUPPRESSOR OF OVEREXPRESSION OF CONSTANS),Floral integrator,MADS-box transcription factor,mutant late flowering in LDs and SDs,"Liu et al., 2007 Development; Onouchi et al., 2000 Plant Cell",
AT2G46255,2,miR159c (micro RNA 159c),Gibberellin,,,,
AT2G46340,2,SPA1 (SUPPRESSOR OF PHYA-105),Photoperiod,WD-40 and protein kinase-like domain,mutant early flowering in SDs,"Ishikawa et al., 2006 Plant Journal; Laubinger et al., 2006 Development; Saijo et al., 2008 Molecular Cell; ",
AT2G46790,2,PRR9 (PSEUDO-RESPONSE REGULATOR 9),"photoperiod, circadian clock",unknown,overexpressor early flowering,"Farré et al., 2005, Curr Biol; Nakamichi et al., 2005, Plant Cell Physiol; Nakamichi et al., 2007, Plant Cell Physiol",
AT2G46830,2,CCA1 (CIRCADIAN CLOCK ASSOCIATED 1),"photoperiod, circadian clock",Myb transcription factor,"mutant early flowering in short days, lhy cca1 double mutant not responsive to photoperiod","Alabadi et al., 2001, Science; Wang and Tobin., 1998, Cell; Green and Tobin, 1999, PNAS",Redundancy with LHY
AT2G47700,2,RFI2 (RED AND FAR-RED INSENSITIVE 2),Photoperiod,RING-domain zinc finger transcription factor,mutant early flowering in LDs and SDs,"Chen and Ni, 2006 Plant Journal",
AT3G04610,3,FLK (FLOWERING LATE KH MOTIF),Autonomous,RNA binding protein,mutant late flowering,"Lim et al., 2004 Plant Cell; Mockler et al., 2004 PNAS",mutants show increased FLC expression
AT3G04910,3,WNK1 ((WITH NO LYSINE (K) 1)),"photoperiod, circadian clock",,,"Murakami-Kojima et al., 2002, Plant Cell Physiol",
AT3G05120 ,3,GID1A (GA INSENSITIVE DWARF1A),Gibberellin,soluble nuclear localized GA receptor,triple gid mutants are late flowering in LD,"Griffiths et al., 2006 Plant Cell",
AT3G10390,3,FLD (FLOWERING LOCUS D),Autonomous,Hisone deacetylation associated protein,mutant late flowering,"He et al., 2003 Science",mutants show increased FLC expression
AT3G11435,3,miR172c (micro RNA 172c),Photoperiod,,,,
AT3G11440  ,3,MYB65,Gibberellin,MYB transcription factor,"redundant with MYB33, repressed by miR159","Gocal et al., 2001 Plant Phys",
AT3G12810,3,PIE1 (PHOTOPERIOD INDEPENDENT EARLY FLOWERING 1),,"Similar to ATP-dependent, chromatin-remodeling proteins of the ISWI and SWI2/SNF2 family",mutant early flowering,"Noh and Amasino, 2003 Plant Cell",
AT3G15270,3,SPL5 (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE 5),Vegetative to reproductive transition,SBP transcription factor,Overexpression promotes flowering,"Wu and Poethig, 2006 Development",
AT3G15354,3,SPA3 (SPA1-RELATED 3),Photoperiod,WD-40 and protein kinase-like domain,spa1 spa3 spa4 triple mutants flower early in LDs and SDs,"Laubinger et al., 2006 Development; Zhu et al., 2008 Plant Cell",
AT3G18990,3,VRN1 (VERNALIZATION 1),Vernalization,,,"Levy et al., 2002 Science","Mutants are reduced in their response to vernalization, for example in an fca-1 background. No effect on flowering in conditions other than vernalization."
AT3G22380  ,3,TIC (TIME FOR COFFEE),circadian clock,,,"Hall et al., 2003, Plant Cell; Ding at al., 2007, Plant Cell",
